;Wavenumber;10.12.D;10.12.G;10.13.G;12.1.D;12.1.G;12.4.D;12.4.G;12.5.D;12.5.G
146;3854,0;99,614615;97,028326;99,612841;99,977995;97,059413;102,047735;97,372095;100,110607;98,864228
147;3853,0;99,559865;97,05697;99,596631;99,953168;97,104507;102,03262;97,446987;100,106224;98,885738
148;3852,0;99,517628;97,03354;99,611328;99,924819;97,096391;102,064669;97,491823;100,078673;98,912851
149;3851,0;99,580236;96,991034;99,613002;99,957308;97,056691;102,175345;97,507344;100,091846;98,937022
150;3850,0;99,705099;96,981417;99,58925;100,004987;97,026367;102,253968;97,494354;100,10869;98,939088
151;3849,0;99,809889;96,985042;99,566568;100,012213;97,005293;102,25631;97,448371;100,085845;98,911072
152;3848,0;99,858785;96,968595;99,578144;99,975286;96,982966;102,220763;97,38141;100,031515;98,869462
153;3847,0;99,855997;96,932762;99,626465;99,916401;96,962234;102,182227;97,319395;99,969993;98,84217
154;3846,0;99,8234;96,900512;99,690519;99,859272;96,950447;102,145746;97,279476;99,918095;98,842088
155;3845,0;99,782184;96,883411;99,748235;99,820852;96,945178;102,105892;97,262016;99,882596;98,858677
156;3844,0;99,743094;96,877201;99,791492;99,806431;96,943351;102,062803;97,25996;99,862715;98,873525
157;3843,0;99,709889;96,87485;99,824501;99,809918;96,952556;102,02196;97,272841;99,852783;98,88196
158;3842,0;99,691493;96,873751;99,848812;99,825217;96,986461;101,997905;97,309901;99,854037;98,892947
159;3841,0;99,693679;96,875031;99,856248;99,847609;97,047753;102,001308;97,371566;99,872502;98,907214
160;3840,0;99,70658;96,879111;99,838921;99,871198;97,119811;102,026136;97,435536;99,90806;98,905704
161;3839,0;99,706121;96,882615;99,802808;99,887402;97,175529;102,051224;97,471519;99,950316;98,872836
162;3838,0;99,681053;96,883322;99,764534;99,892576;97,199267;102,065402;97,473727;99,988302;98,826639
163;3837,0;99,654517;96,883441;99,732493;99,895845;97,191768;102,079682;97,459913;100,020296;98,80589
164;3836,0;99,664217;96,887399;99,700853;99,914149;97,16252;102,111358;97,449316;100,049463;98,831405
165;3835,0;99,720491;96,902134;99,665945;99,951701;97,126905;102,15585;97,446979;100,070608;98,889786
166;3834,0;99,799147;96,928911;99,637167;99,993381;97,100867;102,195093;97,443118;100,072139;98,948108
167;3833,0;99,866925;96,962731;99,62793;100,018845;97,093123;102,21716;97,420809;100,049206;98,975201
168;3832,0;99,904303;96,993746;99,643173;100,0204;97,095835;102,222253;97,371282;100,009536;98,958778
169;3831,0;99,912579;97,008105;99,676951;100,010628;97,087473;102,223299;97,308394;99,972481;98,913354
170;3830,0;99,905446;97,000436;99,718972;100,008664;97,054713;102,231598;97,261431;99,957562;98,868538
171;3829,0;99,891567;96,9809;99,762796;100,013156;97,005545;102,234778;97,250041;99,965387;98,84556
172;3828,0;99,868211;96,964101;99,806676;99,997625;96,960933;102,205239;97,263764;99,97379;98,841745
173;3827,0;99,829928;96,955026;99,848322;99,940004;96,937282;102,13104;97,270355;99,956688;98,83782
174;3826,0;99,786405;96,944892;99,882649;99,858993;96,937091;102,045347;97,255516;99,916872;98,824494
175;3825,0;99,762497;96,928046;99,9042;99,805934;96,95624;102,007856;97,24847;99,892773;98,818376
176;3824,0;99,775061;96,922224;99,908761;99,815147;96,994148;102,045582;97,29179;99,919965;98,841663
177;3823,0;99,811906;96,953539;99,893289;99,865376;97,043732;102,118536;97,386047;99,988822;98,888524
178;3822,0;99,831571;97,023895;99,857952;99,888545;97,088363;102,145003;97,473475;100,041782;98,918736
179;3821,0;99,794815;97,086481;99,809816;99,839167;97,107226;102,086708;97,490207;100,025505;98,9029
180;3820,0;99,733095;97,081077;99,75992;99,772298;97,091141;102,031255;97,450105;99,972239;98,870218
